orderocc,line,sta,lat,lon,sccoos,pairovet,prpoos,manta,bongo,bongo_special,sta104,core_pattern,Pilot stations,northern_sta,Station
89,70,90,34.88205081,-124.4804682,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,North stations
90,70,80,35.21538414,-123.7784308,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,North stations
91,70,70,35.54871747,-123.0734784,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,North stations
94,70,60,35.88205081,-122.3655627,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,North stations
95,70,55,36.04871747,-122.0104783,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,North stations
96,70,51,36.18205081,-121.7258644,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,North stations
98,66.7,50,36.78696091,-122.0563271,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,North stations
100,66.7,55,36.62029424,-122.4148226,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,North stations
102,66.7,60,36.45362757,-122.7725371,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,North stations
92,70,66.7,35.65872,-122.84018,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Pilot stations
93,70,63.6,35.76205,-122.62074,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Pilot stations
103,66.7,70,36.12029424,-123.4856487,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,North stations
104,66.7,80,35.78696091,-124.1957124,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,North stations
97,67.1,47.7,36.79435,-121.84246,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Pilot stations
105,66.7,90,35.45362757,-124.9027779,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,North stations
99,65.3,52.7,36.93945,-122.4219,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Pilot stations
101,68.1,55.9,36.34781,-122.30716,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Pilot stations
106,63.3,90,36.04252485,-125.3415203,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,North stations
107,63.3,80,36.37585818,-124.6291242,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,North stations
108,63.3,70,36.70919152,-123.9136417,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,North stations
109,63.3,60,37.04252485,-123.1950214,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,North stations
110,63.3,55,37.20919152,-122.8345184,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,North stations
111,63.3,52,37.30919152,-122.6178311,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,North stations
112,60,53,37.84743495,-123.099418,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,North stations
113,60,60,37.61410162,-123.6082525,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,North stations
114,60,70,37.28076828,-124.3323747,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,North stations
115,60,80,36.94743495,-125.0532694,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,North stations
116,60,90,36.61410162,-125.7709893,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,North stations
82,73.3,100,33.97714,-124.7559,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,North stations
83,70,100,34.54872,-125.17964,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,North stations
100,66.7,100,35.12029,-125.60689,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,North stations
101,63.3,100,35.70919,-126.05088,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,North stations
113,60,100,36.28077,-126.48559,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,North stations
57,84,41.7,34.06718,-119.40593,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Pilot stations
